"","Date","State","Confirmed"
"606","13/06/20","Odisha",3498
"607","13/06/20","West Bengal",10244
"608","14/06/20","Chhattisgarh",1512
"609","14/06/20","Gujarat",23038
"610","14/06/20","Jharkhand",1711
"611","14/06/20","Madhya Pradesh",10641
"612","14/06/20","Maharashtra",104568
"613","14/06/20","Odisha",3723
"614","14/06/20","West Bengal",10698
"615","15/06/20","Chhattisgarh",1662
"616","15/06/20","Gujarat",23544
"617","15/06/20","Jharkhand",1745
"618","15/06/20","Madhya Pradesh",10802
"619","15/06/20","Maharashtra",107958
"620","15/06/20","Odisha",3909
"621","15/06/20","West Bengal",11087
"622","16/06/20","Chhattisgarh",1756
"623","16/06/20","Gujarat",24055
"624","16/06/20","Jharkhand",1763
"625","16/06/20","Madhya Pradesh",10935
"626","16/06/20","Maharashtra",110744
"627","16/06/20","Odisha",4055
"628","16/06/20","West Bengal",11494
"629","17/06/20","Chhattisgarh",1781
"630","17/06/20","Gujarat",24577
"631","17/06/20","Jharkhand",1839
"632","17/06/20","Madhya Pradesh",11083
"633","17/06/20","Maharashtra",113445
"634","17/06/20","Odisha",4163
"635","17/06/20","West Bengal",11909
"636","18/06/20","Chhattisgarh",1864
"637","18/06/20","Gujarat",25093
"638","18/06/20","Jharkhand",1895
"639","18/06/20","Madhya Pradesh",11244
"640","18/06/20","Maharashtra",116752
"641","18/06/20","Odisha",4338
"642","18/06/20","West Bengal",12300
"643","19/06/20","Chhattisgarh",1946
"644","19/06/20","Gujarat",25601
"645","19/06/20","Jharkhand",1920
"646","19/06/20","Madhya Pradesh",11426
"647","19/06/20","Maharashtra",120504
"648","19/06/20","Odisha",4512
"649","19/06/20","West Bengal",12735
"650","20/06/20","Chhattisgarh",2028
"651","20/06/20","Gujarat",26141
"652","20/06/20","Jharkhand",1965
"653","20/06/20","Madhya Pradesh",11582
"654","20/06/20","Maharashtra",124331
"655","20/06/20","Odisha",4677
"656","20/06/20","West Bengal",13090
"657","21/06/20","Chhattisgarh",2041
"658","21/06/20","Gujarat",26680
"659","21/06/20","Jharkhand",1965
"660","21/06/20","Madhya Pradesh",11724
"661","21/06/20","Maharashtra",128205
"662","21/06/20","Odisha",4856
"663","21/06/20","West Bengal",13531
